schoolid,math,ses,mses,sector
1,5.88,-1.53,-0.43,0
1,19.71,-0.59,-0.43,0
1,20.35,-0.53,-0.43,0
1,8.78,-0.67,-0.43,0
1,17.9,-0.16,-0.43,0
1,4.58,0.02,-0.43,0
1,-2.83,-0.62,-0.43,0
1,0.52,-1,-0.43,0
1,1.53,-0.89,-0.43,0
1,21.52,-0.46,-0.43,0
1,9.48,-1.45,-0.43,0
1,16.06,-0.66,-0.43,0
1,21.18,-0.47,-0.43,0
1,20.18,-0.99,-0.43,0
1,20.35,0.33,-0.43,0
1,20.51,-0.68,-0.43,0
1,19.34,-0.3,-0.43,0
1,4.15,-1.53,-0.43,0
1,2.93,0.04,-0.43,0
1,16.41,-0.08,-0.43,0
1,13.65,0.06,-0.43,0
1,6.56,-0.13,-0.43,0
1,9.65,0.47,-0.43,0
1,3.15,-0.47,-0.43,0
1,4.75,-1.25,-0.43,0
1,21.72,-0.63,-0.43,0
1,5.17,0.83,-0.43,0
1,6.4,-0.57,-0.43,0
1,6.82,-0.26,-0.43,0
1,9.26,-0.14,-0.43,0
1,3.75,-0.48,-0.43,0
1,0.86,-0.95,-0.43,0
1,11.54,0.28,-0.43,0
1,13.26,-0.12,-0.43,0
1,10.56,-0.88,-0.43,0
1,0.87,-0.94,-0.43,0
1,8.3,-0.55,-0.43,0
1,-1.69,0.14,-0.43,0
1,2.06,0.97,-0.43,0
1,6.71,0.37,-0.43,0
1,0.12,-1.66,-0.43,0
1,2.38,-1.07,-0.43,0
1,16.34,-0.25,-0.43,0
1,6.13,-1.4,-0.43,0
1,23.58,0.75,-0.43,0
1,14.05,0.01,-0.43,0
1,2.18,-0.42,-0.43,0
2,7.86,-0.79,0.13,0
2,10.17,-0.33,0.13,0
2,15.7,0.47,0.13,0
2,22.92,0.35,0.13,0
2,10.66,-1.47,0.13,0
2,13.54,0.2,0.13,0
2,18.21,-0.52,0.13,0
2,5.55,-0.16,0.13,0
2,7.42,0.04,0.13,0
2,18.79,0.68,0.13,0
2,1.58,1.26,0.13,0
2,3.53,0.15,0.13,0
2,20.17,-0.68,0.13,0
2,10.77,0.33,0.13,0
2,2.62,-0.73,0.13,0
2,21.3,1.26,0.13,0
2,19.53,0.61,0.13,0
2,18.4,0.69,0.13,0
2,20.69,1.08,0.13,0
2,21.44,0.22,0.13,0
2,7.52,0.03,0.13,0
2,18.4,-0.12,0.13,0
2,4.62,-0.49,0.13,0
2,23.58,0.32,0.13,0
2,12.81,0.59,0.13,0
3,12.67,-0.15,-0.42,0
3,0.78,-0.86,-0.42,0
3,4.97,-1.57,-0.42,0
3,23.17,-0.9,-0.42,0
3,8.28,-0.29,-0.42,0
3,6.24,-1.09,-0.42,0
3,1.33,-1.39,-0.42,0
3,2.36,-1.15,-0.42,0
3,6.76,-0.56,-0.42,0
3,6.25,-0.7,-0.42,0
3,3.4,0.14,-0.42,0
3,22.2,0.52,-0.42,0
3,-1.35,0.73,-0.42,0
3,-0.01,-0.25,-0.42,0
3,5.22,0.32,-0.42,0
3,3.59,0.05,-0.42,0
3,11.16,-0.03,-0.42,0
3,5.98,-0.9,-0.42,0
